class_id,thai_char,label,precision,recall,f1-score,support
161,ก,161 ก,0.9573934837092731,0.9794871794871794,0.9683143219264893,390.0
162,ข,162 ข,0.9655172413793104,0.9298892988929889,0.9473684210526315,271.0
163,ฃ,163 ฃ,0.0,0.0,0.0,0.0
164,ค,164 ค,0.7601078167115903,0.9724137931034482,0.8532526475037822,290.0
167,ง,167 ง,0.9903846153846154,0.9537037037037037,0.9716981132075472,216.0
168,จ,168 จ,0.9951456310679612,0.8541666666666666,0.9192825112107623,240.0
169,ฉ,169 ฉ,0.0,0.0,0.0,9.0
170,ช,170 ช,0.9148936170212766,0.8472906403940886,0.8797953964194374,203.0
171,ซ,171 ซ,0.6461538461538462,0.711864406779661,0.6774193548387096,59.0
173,ญ,173 ญ,0.8571428571428571,0.2608695652173913,0.4,23.0
175,ฎ,175 ฎ,0.0,0.0,0.0,6.0
176,ฐ,176 ฐ,0.9444444444444444,0.7083333333333334,0.8095238095238095,24.0
177,ฑ,177 ฑ,0.0,0.0,0.0,0.0
178,ฒ,178 ฒ,1.0,0.3,0.46153846153846156,10.0
179,ณ,179 ณ,0.7402597402597403,0.9827586206896551,0.8444444444444444,58.0
180,ด,180 ด,0.8038740920096852,0.8197530864197531,0.8117359413202934,405.0
181,ต,181 ต,0.9759036144578314,0.7319277108433735,0.8364888123924269,332.0
182,ถ,182 ถ,1.0,0.13793103448275862,0.24242424242424243,87.0
183,ท,183 ท,0.99375,0.45558739255014324,0.6247544204322201,349.0
184,ธ,184 ธ,0.8888888888888888,0.8275862068965517,0.8571428571428571,29.0
185,น,185 น,0.9955604883462819,0.9218910585817061,0.9573105656350054,973.0
186,บ,186 บ,0.9805555555555555,0.9338624338624338,0.9566395663956639,378.0
187,ป,187 ป,0.9951456310679612,0.9030837004405287,0.9468822170900693,227.0
188,ผ,188 ผ,0.9137931034482759,0.7681159420289855,0.8346456692913385,69.0
189,ฝ,189 ฝ,1.0,0.125,0.2222222222222222,8.0
190,พ,190 พ,0.5756302521008403,0.9383561643835616,0.7135416666666666,146.0
191,ฟ,191 ฟ,1.0,0.8571428571428571,0.9230769230769231,21.0
192,ภ,192 ภ,1.0,0.3333333333333333,0.5,48.0
193,ม,193 ม,0.9165467625899281,0.9636913767019667,0.93952802359882,661.0
194,ย,194 ย,0.995249406175772,0.9544419134396356,0.9744186046511628,439.0
195,ร,195 ร,0.9905992949471211,0.9035369774919614,0.945067264573991,933.0
196,ฤ,196 ฤ,0.0,0.0,0.0,3.0
197,ล,197 ล,0.9786729857819905,0.9450800915331807,0.9615832363213038,437.0
199,ว,199 ว,0.3389830508474576,0.057971014492753624,0.09900990099009901,345.0
200,ศ,200 ศ,0.8,0.8421052631578947,0.8205128205128205,19.0
201,ษ,201 ษ,0.7936507936507936,0.9433962264150944,0.8620689655172413,53.0
202,ส,202 ส,0.9117647058823529,0.9717868338557993,0.9408194233687405,319.0
203,ห,203 ห,0.7380352644836272,0.9832214765100671,0.8431654676258993,298.0
204,ฬ,204 ฬ,0.0,0.0,0.0,1.0
205,อ,205 อ,0.9804216867469879,0.9954128440366973,0.9878603945371776,654.0
206,ฮ,206 ฮ,1.0,0.5,0.6666666666666666,2.0
207,ฯ,207 ฯ,0.0,0.0,0.0,4.0
209,ั,209 ั,0.9816643159379408,0.8446601941747572,0.9080234833659491,824.0
210,า,210 า,0.5883333333333334,0.7024875621890547,0.6403628117913832,1005.0
212,ิ,212 ิ,1.0,0.4444444444444444,0.6153846153846154,9.0
213,ี,213 ี,0.6857142857142857,0.8275862068965517,0.75,29.0
214,ึ,214 ึ,0.0,0.0,0.0,3.0
215,ื,215 ื,0.6,0.25,0.35294117647058826,12.0
216,ุ,216 ◌ุ,0.7878787878787878,0.8387096774193549,0.8125,31.0
217,ู,217 ◌ู,0.3111111111111111,0.5,0.3835616438356164,28.0
224,เ,224 เ,0.8367346938775511,1.0,0.9111111111111111,41.0
225,แ,225 แ,0.125,0.75,0.21428571428571427,4.0
226,โ,226 โ,0.8853503184713376,0.9928571428571429,0.936026936026936,140.0
227,ใ,227 ใ,0.7859778597785978,0.9815668202764977,0.8729508196721312,217.0
228,ไ,228 ไ,0.922077922077922,0.9793103448275862,0.9498327759197325,145.0
229,ๅ,229 ๅ,0.6278735632183908,0.9458874458874459,0.7547495682210709,462.0
230,ๆ,230 ๆ,0.88,0.9166666666666666,0.8979591836734694,24.0
231,็,231 ็,0.5609756097560976,0.9583333333333334,0.7076923076923077,24.0
232,่,232 ◌่,0.9056603773584906,1.0,0.9504950495049505,96.0
233,้,233 ◌้,0.5589887640449438,0.9900497512437811,0.7145421903052065,201.0
234,๊,234 ◌๊,0.43478260869565216,1.0,0.6060606060606061,10.0
236,์,236 ์,0.8606060606060606,0.9793103448275862,0.9161290322580645,145.0
240,๐,240 ๐,1.0,1.0,1.0,17.0
241,๑,241 ๑,1.0,0.8888888888888888,0.9411764705882353,9.0
242,๒,242 ๒,1.0,1.0,1.0,8.0
243,๓,243 ๓,0.8333333333333334,1.0,0.9090909090909091,5.0
244,๔,244 ๔,1.0,0.6666666666666666,0.8,3.0
245,๕,245 ๕,1.0,0.6666666666666666,0.8,3.0
246,๖,246 ๖,1.0,1.0,1.0,2.0
247,๗,247 ๗,0.0,0.0,0.0,1.0
248,๘,248 ๘,0.5,0.4,0.4444444444444444,5.0
249,๙,249 ๙,1.0,1.0,1.0,3.0
macro avg,,macro avg,0.7362573863256958,0.6922095042241053,0.6804100583864301,12545.0
weighted avg,,weighted avg,0.8677480879960876,0.8542048624950179,0.8457693623037088,12545.0
