class_id,thai_char,label,support,correct,accuracy
204,ฬ,204 ฬ,1,0,0.0
214,ึ,214 ึ,3,0,0.0
169,ฉ,169 ฉ,9,0,0.0
207,ฯ,207 ฯ,4,0,0.0
175,ฎ,175 ฎ,6,0,0.0
196,ฤ,196 ฤ,3,0,0.0
247,๗,247 ๗,1,0,0.0
199,ว,199 ว,345,20,0.057971014492753624
189,ฝ,189 ฝ,8,1,0.125
182,ถ,182 ถ,87,12,0.13793103448275862
215,ื,215 ื,12,3,0.25
173,ญ,173 ญ,23,6,0.2608695652173913
178,ฒ,178 ฒ,10,3,0.3
192,ภ,192 ภ,48,16,0.3333333333333333
248,๘,248 ๘,5,2,0.4
212,ิ,212 ิ,9,4,0.4444444444444444
183,ท,183 ท,349,159,0.45558739255014324
217,ู,217 ◌ู,28,14,0.5
206,ฮ,206 ฮ,2,1,0.5
244,๔,244 ๔,3,2,0.6666666666666666
245,๕,245 ๕,3,2,0.6666666666666666
210,า,210 า,1005,706,0.7024875621890547
176,ฐ,176 ฐ,24,17,0.7083333333333334
171,ซ,171 ซ,59,42,0.711864406779661
181,ต,181 ต,332,243,0.7319277108433735
225,แ,225 แ,4,3,0.75
188,ผ,188 ผ,69,53,0.7681159420289855
180,ด,180 ด,405,332,0.8197530864197531
213,ี,213 ี,29,24,0.8275862068965517
184,ธ,184 ธ,29,24,0.8275862068965517
216,ุ,216 ◌ุ,31,26,0.8387096774193549
200,ศ,200 ศ,19,16,0.8421052631578947
209,ั,209 ั,824,696,0.8446601941747572
170,ช,170 ช,203,172,0.8472906403940886
168,จ,168 จ,240,205,0.8541666666666666
191,ฟ,191 ฟ,21,18,0.8571428571428571
241,๑,241 ๑,9,8,0.8888888888888888
187,ป,187 ป,227,205,0.9030837004405287
195,ร,195 ร,933,843,0.9035369774919614
230,ๆ,230 ๆ,24,22,0.9166666666666666
185,น,185 น,973,897,0.9218910585817061
162,ข,162 ข,271,252,0.9298892988929889
186,บ,186 บ,378,353,0.9338624338624338
190,พ,190 พ,146,137,0.9383561643835616
201,ษ,201 ษ,53,50,0.9433962264150944
197,ล,197 ล,437,413,0.9450800915331807
229,ๅ,229 ๅ,462,437,0.9458874458874459
167,ง,167 ง,216,206,0.9537037037037037
194,ย,194 ย,439,419,0.9544419134396356
231,็,231 ็,24,23,0.9583333333333334
193,ม,193 ม,661,637,0.9636913767019667
202,ส,202 ส,319,310,0.9717868338557993
164,ค,164 ค,290,282,0.9724137931034482
236,์,236 ์,145,142,0.9793103448275862
228,ไ,228 ไ,145,142,0.9793103448275862
161,ก,161 ก,390,382,0.9794871794871794
227,ใ,227 ใ,217,213,0.9815668202764977
179,ณ,179 ณ,58,57,0.9827586206896551
203,ห,203 ห,298,293,0.9832214765100671
233,้,233 ◌้,201,199,0.9900497512437811
226,โ,226 โ,140,139,0.9928571428571429
205,อ,205 อ,654,651,0.9954128440366973
232,่,232 ◌่,96,96,1.0
234,๊,234 ◌๊,10,10,1.0
240,๐,240 ๐,17,17,1.0
224,เ,224 เ,41,41,1.0
242,๒,242 ๒,8,8,1.0
243,๓,243 ๓,5,5,1.0
246,๖,246 ๖,2,2,1.0
249,๙,249 ๙,3,3,1.0
163,ฃ,163 ฃ,0,0,
177,ฑ,177 ฑ,0,0,
