class_id,train,val,test,total
210,3819,955,251,5025
185,3696,924,243,4863
195,3544,886,233,4663
209,3131,783,206,4120
193,2513,628,165,3306
205,2486,622,164,3272
229,1755,439,116,2310
194,1670,417,110,2197
197,1662,416,109,2187
180,1539,385,101,2025
161,1482,371,98,1951
186,1436,359,94,1889
183,1326,332,87,1745
199,1310,328,86,1724
181,1263,316,83,1662
202,1212,303,80,1595
203,1133,283,74,1490
164,1101,275,72,1448
162,1030,257,68,1355
168,914,228,60,1202
187,861,215,57,1133
227,826,206,54,1086
167,819,205,54,1078
170,770,192,51,1013
233,766,192,50,1008
190,554,139,36,729
236,552,138,36,726
228,551,138,36,725
226,531,133,35,699
232,364,91,24,479
182,330,83,22,435
188,262,65,17,344
171,224,56,15,295
179,222,55,15,292
201,201,50,13,264
192,182,45,12,239
224,154,39,10,203
216,118,29,8,155
184,109,27,7,143
213,109,27,7,143
217,106,26,7,139
230,92,23,6,121
231,90,23,6,119
176,90,22,6,118
173,86,21,6,113
191,78,20,5,103
200,71,18,5,94
240,63,16,4,83
215,46,11,3,60
234,38,9,2,49
178,37,9,2,48
212,36,9,2,47
241,35,9,2,46
169,33,8,2,43
189,30,7,2,39
242,30,7,2,39
175,24,6,2,32
248,21,5,1,27
243,18,4,1,23
225,16,4,1,21
207,15,4,1,20
245,13,3,1,17
244,12,3,1,16
249,10,3,1,14
214,10,3,1,14
196,10,2,1,13
246,9,2,1,12
206,7,2,1,10
247,2,1,1,4
204,1,1,1,3
163,1,0,0,1
177,1,0,0,1
