class_id,thai_char,label,index,precision,recall,f1-score,accuracy,support,correct
161,ก,161 ก,0,0.997289972899729,0.9919137466307277,0.9945945945945946,0.9919137466307277,371,368
162,ข,162 ข,1,0.9921259842519685,0.980544747081712,0.9863013698630136,0.980544747081712,257,252
163,ฃ,163 ฃ,2,0.0,0.0,0.0,,0,0
164,ค,164 ค,3,0.974910394265233,0.9890909090909091,0.9819494584837545,0.9890909090909091,275,272
167,ง,167 ง,4,1.0,1.0,1.0,1.0,205,205
168,จ,168 จ,5,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,228,225
169,ฉ,169 ฉ,6,0.8888888888888888,1.0,0.9411764705882353,1.0,8,8
170,ช,170 ช,7,0.9735449735449735,0.9583333333333334,0.9658792650918635,0.9583333333333334,192,184
171,ซ,171 ซ,8,0.8852459016393442,0.9642857142857143,0.9230769230769231,0.9642857142857143,56,54
173,ญ,173 ญ,9,1.0,1.0,1.0,1.0,21,21
175,ฎ,175 ฎ,10,1.0,1.0,1.0,1.0,6,6
176,ฐ,176 ฐ,11,0.9565217391304348,1.0,0.9777777777777777,1.0,22,22
177,ฑ,177 ฑ,12,0.0,0.0,0.0,,0,0
178,ฒ,178 ฒ,13,1.0,1.0,1.0,1.0,9,9
179,ณ,179 ณ,14,1.0,1.0,1.0,1.0,55,55
180,ด,180 ด,15,0.9868766404199475,0.9766233766233766,0.9817232375979112,0.9766233766233766,385,376
181,ต,181 ต,16,0.9781931464174455,0.9936708860759493,0.9858712715855573,0.9936708860759493,316,314
182,ถ,182 ถ,17,0.9880952380952381,1.0,0.9940119760479041,1.0,83,83
183,ท,183 ท,18,0.9969512195121951,0.9849397590361446,0.990909090909091,0.9849397590361446,332,327
184,ธ,184 ธ,19,1.0,1.0,1.0,1.0,27,27
185,น,185 น,20,0.9978308026030369,0.9956709956709957,0.9967497291440953,0.9956709956709957,924,920
186,บ,186 บ,21,0.9943820224719101,0.9860724233983287,0.9902097902097902,0.9860724233983287,359,354
187,ป,187 ป,22,0.9953488372093023,0.9953488372093023,0.9953488372093023,0.9953488372093023,215,214
188,ผ,188 ผ,23,1.0,1.0,1.0,1.0,65,65
189,ฝ,189 ฝ,24,1.0,1.0,1.0,1.0,7,7
190,พ,190 พ,25,0.965034965034965,0.9928057553956835,0.9787234042553191,0.9928057553956835,139,138
191,ฟ,191 ฟ,26,1.0,1.0,1.0,1.0,20,20
192,ภ,192 ภ,27,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,45,44
193,ม,193 ม,28,0.9936708860759493,1.0,0.9968253968253968,1.0,628,628
194,ย,194 ย,29,0.9952153110047847,0.9976019184652278,0.9964071856287425,0.9976019184652278,417,416
195,ร,195 ร,30,0.9954904171364148,0.9966139954853274,0.9960518894529047,0.9966139954853274,886,883
196,ฤ,196 ฤ,31,1.0,1.0,1.0,1.0,2,2
197,ล,197 ล,32,0.9881235154394299,1.0,0.994026284348865,1.0,416,416
199,ว,199 ว,33,0.9682539682539683,0.9298780487804879,0.9486780715396579,0.9298780487804879,328,305
200,ศ,200 ศ,34,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,18,17
201,ษ,201 ษ,35,1.0,0.98,0.98989898989899,0.98,50,49
202,ส,202 ส,36,1.0,0.9900990099009901,0.9950248756218906,0.9900990099009901,303,300
203,ห,203 ห,37,0.9964664310954063,0.9964664310954063,0.9964664310954063,0.9964664310954063,283,282
204,ฬ,204 ฬ,38,0.0,0.0,0.0,0.0,1,0
205,อ,205 อ,39,1.0,0.9919614147909968,0.9959644874899112,0.9919614147909968,622,617
206,ฮ,206 ฮ,40,1.0,1.0,1.0,1.0,2,2
207,ฯ,207 ฯ,41,1.0,1.0,1.0,1.0,4,4
209,ั,209 ั,42,0.9936061381074168,0.9923371647509579,0.9929712460063898,0.9923371647509579,783,777
210,า,210 า,43,0.9574014909478168,0.9413612565445026,0.9493136219640972,0.9413612565445026,955,899
212,ิ,212 ิ,44,1.0,1.0,1.0,1.0,9,9
213,ี,213 ี,45,1.0,0.8148148148148148,0.8979591836734694,0.8148148148148148,27,22
214,ึ,214 ึ,46,1.0,1.0,1.0,1.0,3,3
215,ื,215 ื,47,0.8461538461538461,1.0,0.9166666666666666,1.0,11,11
216,ุ,216 ◌ุ,48,1.0,1.0,1.0,1.0,29,29
217,ู,217 ◌ู,49,0.96,0.9230769230769231,0.9411764705882353,0.9230769230769231,26,24
224,เ,224 เ,50,1.0,1.0,1.0,1.0,39,39
225,แ,225 แ,51,1.0,1.0,1.0,1.0,4,4
226,โ,226 โ,52,1.0,0.9924812030075187,0.9962264150943396,0.9924812030075187,133,132
227,ใ,227 ใ,53,0.9802955665024631,0.9660194174757282,0.9731051344743277,0.9660194174757282,206,199
228,ไ,228 ไ,54,0.9927007299270073,0.9855072463768116,0.9890909090909091,0.9855072463768116,138,136
229,ๅ,229 ๅ,55,0.9150743099787686,0.9817767653758542,0.9472527472527472,0.9817767653758542,439,431
230,ๆ,230 ๆ,56,0.9583333333333334,1.0,0.9787234042553191,1.0,23,23
231,็,231 ็,57,0.8846153846153846,1.0,0.9387755102040817,1.0,23,23
232,่,232 ◌่,58,0.978494623655914,1.0,0.9891304347826086,1.0,91,91
233,้,233 ◌้,59,0.9695431472081218,0.9947916666666666,0.9820051413881749,0.9947916666666666,192,191
234,๊,234 ◌๊,60,1.0,1.0,1.0,1.0,9,9
236,์,236 ์,61,1.0,0.9927536231884058,0.9963636363636363,0.9927536231884058,138,137
240,๐,240 ๐,62,1.0,1.0,1.0,1.0,16,16
241,๑,241 ๑,63,1.0,1.0,1.0,1.0,9,9
242,๒,242 ๒,64,1.0,1.0,1.0,1.0,7,7
243,๓,243 ๓,65,1.0,1.0,1.0,1.0,4,4
244,๔,244 ๔,66,1.0,1.0,1.0,1.0,3,3
245,๕,245 ๕,67,1.0,1.0,1.0,1.0,3,3
246,๖,246 ๖,68,1.0,1.0,1.0,1.0,2,2
247,๗,247 ๗,69,0.0,0.0,0.0,0.0,1,0
248,๘,248 ๘,70,1.0,0.6,0.75,0.6,5,3
249,๙,249 ๙,71,1.0,1.0,1.0,1.0,3,3
