class_id,char,label,manual_weight,support,recall_v2,recall_v3,errors_v2,errors_v3,delta_recall,is_weighted
210,า,210 า,3.0,955,0.9643979057591623,0.9486910994764398,34,49,-0.015706806282722474,True
190,พ,190 พ,1.5,139,0.9856115107913669,0.9784172661870504,2,3,-0.007194244604316502,True
170,ช,170 ช,2.0,192,0.96875,0.9635416666666666,6,7,-0.00520833333333337,True
181,ต,181 ต,2.0,316,0.990506329113924,0.9873417721518988,3,4,-0.0031645569620252223,True
209,ั,209 ั,2.5,783,0.9910600255427842,0.9885057471264368,7,9,-0.0025542784163473664,True
162,ข,162 ข,1.5,257,0.980544747081712,0.980544747081712,5,5,0.0,True
164,ค,164 ค,1.5,275,0.9927272727272727,0.9927272727272727,2,2,0.0,True
168,จ,168 จ,1.5,228,0.9868421052631579,0.9868421052631579,3,3,0.0,True
183,ท,183 ท,1.5,332,0.9879518072289156,0.9879518072289156,4,4,0.0,True
185,น,185 น,1.5,924,0.9956709956709957,0.9956709956709957,4,4,0.0,True
186,บ,186 บ,1.5,359,0.9916434540389972,0.9916434540389972,3,3,0.0,True
195,ร,195 ร,1.5,886,0.9966139954853274,0.9966139954853274,3,3,0.0,True
197,ล,197 ล,1.5,416,1.0,1.0,0,0,0.0,True
202,ส,202 ส,1.5,303,0.9900990099009901,0.9900990099009901,3,3,0.0,True
205,อ,205 อ,1.5,622,0.9935691318327974,0.9935691318327974,4,4,0.0,True
229,ๅ,229 ๅ,3.0,439,0.9476082004555809,0.9498861047835991,23,22,0.002277904328018221,True
180,ด,180 ด,2.0,385,0.9766233766233766,0.9792207792207792,9,8,0.0025974025974025983,True
227,ใ,227 ใ,2.0,206,0.9660194174757282,0.9757281553398058,7,5,0.009708737864077666,True
199,ว,199 ว,3.0,328,0.9512195121951219,0.9664634146341463,16,11,0.015243902439024404,True
233,้,233 ◌้,2.5,192,0.9427083333333334,0.984375,11,3,0.04166666666666663,True
171,ซ,171 ซ,2.0,56,0.9285714285714286,0.9821428571428571,4,1,0.05357142857142849,True
213,ี,213 ี,1.0,27,0.9629629629629629,0.8888888888888888,1,3,-0.07407407407407407,False
161,ก,161 ก,1.0,371,0.9919137466307277,0.9919137466307277,3,3,0.0,False
167,ง,167 ง,1.0,205,1.0,1.0,0,0,0.0,False
169,ฉ,169 ฉ,1.0,8,1.0,1.0,0,0,0.0,False
173,ญ,173 ญ,1.0,21,1.0,1.0,0,0,0.0,False
175,ฎ,175 ฎ,1.0,6,1.0,1.0,0,0,0.0,False
176,ฐ,176 ฐ,1.0,22,1.0,1.0,0,0,0.0,False
178,ฒ,178 ฒ,1.0,9,1.0,1.0,0,0,0.0,False
179,ณ,179 ณ,1.0,55,1.0,1.0,0,0,0.0,False
182,ถ,182 ถ,1.0,83,1.0,1.0,0,0,0.0,False
184,ธ,184 ธ,1.0,27,1.0,1.0,0,0,0.0,False
187,ป,187 ป,1.0,215,0.9953488372093023,0.9953488372093023,1,1,0.0,False
188,ผ,188 ผ,1.0,65,1.0,1.0,0,0,0.0,False
189,ฝ,189 ฝ,1.0,7,1.0,1.0,0,0,0.0,False
191,ฟ,191 ฟ,1.0,20,1.0,1.0,0,0,0.0,False
192,ภ,192 ภ,1.0,45,1.0,1.0,0,0,0.0,False
193,ม,193 ม,1.0,628,1.0,1.0,0,0,0.0,False
194,ย,194 ย,1.0,417,0.9976019184652278,0.9976019184652278,1,1,0.0,False
196,ฤ,196 ฤ,1.0,2,1.0,1.0,0,0,0.0,False
200,ศ,200 ศ,1.0,18,0.9444444444444444,0.9444444444444444,1,1,0.0,False
201,ษ,201 ษ,1.0,50,0.98,0.98,1,1,0.0,False
203,ห,203 ห,1.0,283,0.9964664310954063,0.9964664310954063,1,1,0.0,False
204,ฬ,204 ฬ,1.0,1,1.0,1.0,0,0,0.0,False
206,ฮ,206 ฮ,1.0,2,1.0,1.0,0,0,0.0,False
207,ฯ,207 ฯ,1.0,4,1.0,1.0,0,0,0.0,False
212,ิ,212 ิ,1.0,9,1.0,1.0,0,0,0.0,False
214,ึ,214 ึ,1.0,3,1.0,1.0,0,0,0.0,False
215,ื,215 ื,1.0,11,1.0,1.0,0,0,0.0,False
216,ุ,216 ◌ุ,1.0,29,1.0,1.0,0,0,0.0,False
224,เ,224 เ,1.0,39,1.0,1.0,0,0,0.0,False
225,แ,225 แ,1.0,4,1.0,1.0,0,0,0.0,False
226,โ,226 โ,1.0,133,0.9924812030075187,0.9924812030075187,1,1,0.0,False
228,ไ,228 ไ,1.0,138,0.9927536231884058,0.9927536231884058,1,1,0.0,False
230,ๆ,230 ๆ,1.0,23,1.0,1.0,0,0,0.0,False
231,็,231 ็,1.0,23,1.0,1.0,0,0,0.0,False
232,่,232 ◌่,1.0,91,0.989010989010989,0.989010989010989,1,1,0.0,False
234,๊,234 ◌๊,1.0,9,1.0,1.0,0,0,0.0,False
236,์,236 ์,1.0,138,1.0,1.0,0,0,0.0,False
240,๐,240 ๐,1.0,16,1.0,1.0,0,0,0.0,False
241,๑,241 ๑,1.0,9,0.8888888888888888,0.8888888888888888,1,1,0.0,False
242,๒,242 ๒,1.0,7,1.0,1.0,0,0,0.0,False
243,๓,243 ๓,1.0,4,1.0,1.0,0,0,0.0,False
244,๔,244 ๔,1.0,3,1.0,1.0,0,0,0.0,False
245,๕,245 ๕,1.0,3,1.0,1.0,0,0,0.0,False
246,๖,246 ๖,1.0,2,1.0,1.0,0,0,0.0,False
247,๗,247 ๗,1.0,1,1.0,1.0,0,0,0.0,False
248,๘,248 ๘,1.0,5,0.8,0.8,1,1,0.0,False
249,๙,249 ๙,1.0,3,1.0,1.0,0,0,0.0,False
217,ู,217 ◌ู,1.0,26,0.9615384615384616,1.0,1,0,0.038461538461538436,False
163,ฃ,163 ฃ,1.0,0,,,0,0,,False
177,ฑ,177 ฑ,1.0,0,,,0,0,,False
